BANG_TITLE                          Bang!
BUTTON_CONNECT                      Connect
BUTTON_CREATE_SERVER                Create Server
BUTTON_DELETE                       Delete
BUTTON_BROWSE                       Browse....
BUTTON_JOIN                         Join
BUTTON_MAKE_LOBBY                   Make lobby
BUTTON_START                        Start
BUTTON_EXIT                         Exit
BUTTON_DISCONNECT                   Disconnect
BUTTON_SEND                         Send
LABEL_USERNAME                      User name:
LABEL_PROFILE_PICTURE               Profile picture:
LABEL_NEW_ADDRESS                   New address:
ERROR_NO_USERNAME                   Specify the user name
ERROR_DISCONNECTED                  Disconnected from the server
DIALOG_IMAGE_FILES                  Image Files
GAME_CONFIRM                        Confirm
GAME_PASS                           Pass turn
GAME_RESOLVE                        Resolve
GAME_SELL_BEER                      Sell beer
GAME_DISCARD_BLACK                  Discard black
GAME_DISCARD_BRONCO                 Discard Bronco
GAME_RESTART                        Restart
GAME_USER_CONNECTED                 {} connected
GAME_USER_DISCONNECTED              {} disconnected
USERNAME_DISCONNECTED               (Disconnected)
STATUS_GAME_OVER                    Game Over. Winner: {}
STATUS_YOUR_TURN                    Your turn ... Draw from the deck
STATUS_CARD_FROM_HAND               card from hand
STATUS_UNKNOWN_CARD                 (unknown card)
STATUS_UNKNOWN_PLAYER               (unknown player)
STATUS_PREDRAW                      "Draw!" a card before drawing
STATUS_PREDRAW_FOR                  "Draw!" for {}
STATUS_CHECK                        Choose which card to "draw!" for {0}
STATUS_GENERALSTORE                 Draw a card for {0}
STATUS_DISCARD                      Discard a card for {0}
STATUS_DISCARD_PASS                 Discard a card before passing the turn
STATUS_BANG                         {0} ... Respond with Mancato or Resolve
STATUS_BANG_MULTIPLE_MISSED         {0} ... Respond with {1} Mancato or Resolve
STATUS_BANG_UNAVOIDABLE             {0} ... This shot is unavoidable! Respond with Resolve
STATUS_INDIANS                      {0} ... Respond with Bang or Resolve
STATUS_DUEL                         {0} ... Respond with Bang or Resolve
STATUS_DESTROY                      {0} to discard {1} ... Respond with Fuga or Resolve
STATUS_STEAL                        {0} to steal {1} ... Respond with Fuga or Resolve
STATUS_DEATH                        You're about to die. Play Birra or Resolve
STATUS_BANDIDOS                     {0} ... Discard two cards or Resolve
STATUS_TORNADO                      {0} ... Discard a card to draw two
STATUS_POKER                        {0} ... Discard a card
STATUS_POKER_DRAW                   {0} ... Choose which cards to draw
STATUS_SAVED                        {0} ... Choose whether to draw from the deck or from the hand of {1}
STATUS_ADD_CUBE                     Choose which card to put a cube onto
STATUS_ADD_CUBE_FOR                 Choose which card to put a cube onto, for {0}
STATUS_MOVE_BOMB                    Choose which player to move {0} onto
STATUS_RUST                         {0} ... Respond with Fuga or Resolve
STATUS_RICOCHET                     {0} on {1} ... Respond with Mancato or Resolve
STATUS_PEYOTE                       {0} ... Declare Red or Black
STATUS_HANDCUFFS                    {0} ... Declare a Suit
STATUS_SHOPCHOICE                   Choose how to play {0}
STATUS_KIT_CARLSON                  {0} ... Choose which cards to draw
STATUS_CLAUS_THE_SAINT              {0} ... Choose two cards to draw and the others to gift in turn.
STATUS_VERA_CUSTER                  {0} ... Choose which character to copy
STATUS_YOUL_GRINNER                 Give {0} a card
STATUS_DUTCH_WILL                   {0} ... Choose which card to draw
STATUS_SHOP_CHOOSE_TARGET           Choose who to play {0} to
STATUS_THEDALTONS                   {0} ... Discard a blue card
STATUS_CAN_PLAY_CARD                You can play {0}
STATUS_DAMAGING                     {0} takes 1 damage for {1}
STATUS_DAMAGING_PLURAL              {0} takes {2} damage for {1}
STATUS_CAN_PLAY_TUMBLEWEED          {0} "draws!" {3} for {2} ... You can play {1}
STATUS_CARD_SHARPER                 {0} to switch {1} with {2} ... Respond with Fuga or Resolve
STATUS_LASTWILL                     {0} ... Choose up to three cards to give
STATUS_LASTWILL_TARGET              {0} ... Choose who to give the cards
banggame::player_role::sheriff      Sheriff
banggame::player_role::deputy       Deputy
banggame::player_role::outlaw       Outlaw
banggame::player_role::renegade     Renegade
banggame::card_expansion_type::thebullet            The Bullet
banggame::card_expansion_type::dodgecity            Dodge City
banggame::card_expansion_type::valleyofshadows      Valley of Shadows
banggame::card_expansion_type::wildwestshow         Wild West Show
banggame::card_expansion_type::goldrush             Gold Rush
banggame::card_expansion_type::armedanddangerous    Armed & Dangerous
banggame::card_expansion_type::highnoon             High Noon
banggame::card_expansion_type::fistfulofcards       Fistful of Cards
banggame::card_expansion_type::canyondiablo         Canyon Diablo (beta)
banggame::card_expansion_type::ghostcards           Ghost cards
lobby_state::waiting                Waiting
lobby_state::playing                Playing
lobby_state::finished               Finished
ERROR_PLAYER_IN_LOBBY               Player already in a lobby
ERROR_PLAYER_NOT_IN_LOBBY           Player not in a lobby
ERROR_PLAYER_NOT_LOBBY_OWNER        Not owner of lobby
ERROR_LOBBY_NOT_WAITING             Lobby not waiting
ERROR_LOBBY_NOT_PLAYING             Lobby not playing
ERROR_PLAYER_DOES_NOT_OWN_CARD      Card is not yours
ERROR_CARD_NOT_FOUND                Card not found
ERROR_WRONG_DECLARED_SUIT           Wrong declared suit
ERROR_INVALID_ACTION                Invalid action
ERROR_NOT_ENOUGH_GOLD               Not enough gold nuggets
ERROR_NOT_ENOUGH_CUBES              Not enough cubes
ERROR_NOT_ENOUGH_CUBES_ON           Not enough cubes on {}
ERROR_CARD_HAS_FULL_CUBES           {} already has 4 cubes
ERROR_INVALID_TARGETS               Invalid targets
ERROR_PLAYER_MUST_DRAW              You must draw
ERROR_PLAYER_MUST_NOT_DRAW          You must not draw now
ERROR_CANT_DISCARD_OWN_BLACK        You can't discard your own black cards
