BANG_TITLE                          Bang!
BUTTON_CONNECT                      Connetti
BUTTON_CREATE_SERVER                Crea Server
BUTTON_DELETE                       Elimina
BUTTON_BROWSE                       Sfoglia....
BUTTON_JOIN                         Entra
BUTTON_MAKE_LOBBY                   Crea lobby
BUTTON_START                        Avvia
BUTTON_EXIT                         Esci
BUTTON_DISCONNECT                   Disconnetti
BUTTON_SEND                         Invia
LABEL_USERNAME                      Nome utente:
LABEL_PROFILE_PICTURE               Immagine profilo:
LABEL_NEW_ADDRESS                   Nuovo indirizzo:
ERROR_NO_USERNAME                   Specificare un nome utente
ERROR_DISCONNECTED                  Disconnesso dal server
DIALOG_IMAGE_FILES                  File Immagine
GAME_CONFIRM                        Conferma
GAME_PASS                           Passa
GAME_RESOLVE                        Risolvi
GAME_SELL_BEER                      Vendi birra
GAME_DISCARD_BLACK                  Scarta nera
GAME_DISCARD_BRONCO                 Scarta Bronco
GAME_RESTART                        Riavvia
GAME_USER_CONNECTED                 {} si è connesso
GAME_USER_DISCONNECTED              {} si è disconnesso
USERNAME_DISCONNECTED               (Disconnesso)
STATUS_GAME_OVER                    Game Over. Vincitore: {}
STATUS_YOUR_TURN                    Tocca a te ... Pesca dal mazzo
STATUS_CARD_FROM_HAND               carta dalla mano
STATUS_UNKNOWN_CARD                 (carta sconosciuta)
STATUS_UNKNOWN_PLAYER               (giocatore sconosciuto)
STATUS_PREDRAW                      Estrai prima di pescare
STATUS_PREDRAW_FOR                  Estrai per {}
STATUS_CHECK                        Scegli quale carta estrarre per {0}
STATUS_GENERALSTORE                 Pesca una carta per {0}
STATUS_DISCARD                      Scarta una carta per {0}
STATUS_DISCARD_PASS                 Scarta una carta prima di passare il turno
STATUS_BANG                         {0} ... Rispondi con Mancato o Risolvi
STATUS_BANG_MULTIPLE_MISSED         {0} ... Rispondi con {1} Mancato o Risolvi
STATUS_BANG_UNAVOIDABLE             {0} ... Il colpo non può essere annullato! Rispondi con Risolvi
STATUS_INDIANS                      {0} ... Rispondi con Bang o Risolvi
STATUS_DUEL                         {0} ... Rispondi con Bang o Risolvi
STATUS_DESTROY                      {0} per scartare {1} ... Rispondi con Fuga o Risolvi
STATUS_STEAL                        {0} per rubare {1} ... Rispondi con Fuga o Risolvi
STATUS_DEATH                        Stai per morire. Gioca Birra o Risolvi
